Date,Vol,Voldif,Feed,pH,TA,PA,IA,FOS/TAC,DS,COD,CO2,CH4
26-3-2020 08:00,610.226,11.414,315,8.125,9.350,8.500,0.700,0.082,3.44,30.41,49.2,50.2
27-3-2020 08:00,619.352,9.126,210,7.926,8.550,7.050,1.250,0.177,4.17,40.85,49.7,50.3
28-3-2020 08:00,626.4893333,7.137,0,,,,,,,,,
29-3-2020 08:00,633.6266667,7.137,0,,,,,,,,,
30-3-2020 08:00,640.764,7.137,210,7.903,9.200,8.400,0.600,0.071,4.4,36.55,55.8,44.2
31-3-2020 08:00,650.212,9.448,210,7.894,8.100,7.000,0.900,0.129,4.15,42.4,56.8,43.2
1-4-2020 08:00,660.41,10.198,210,7.815,7.600,6.250,1.150,0.184,4.25,33.825,55.5,44.5
2-4-2020 08:00,671.316,10.906,210,7.815,8.050,6.450,1.200,0.186,3.9,39.47,57,43
3-4-2020 08:00,683.458,12.142,210,7.822,7.400,6.100,1.150,0.189,4.27,36.96,59.2,40.8
4-4-2020 08:00,692.8126667,9.355,0,,,,,,,,,
5-4-2020 08:00,702.1673333,9.355,0,,,,,,,,,
6-4-2020 08:00,711.522,9.355,210,7.907,6.313,4.875,1.188,0.244,4.19,33.89,51.1,48.9
7-4-2020 08:00,722.864,11.342,210,8.07,7.800,6.250,1.250,0.200,4.15,32.85,51.8,48.2
8-4-2020 08:00,733.776,10.912,315,8.085,7.200,5.900,1.000,0.169,4.15,41.1,52.3,47.7
9-4-2020 08:00,745.542,11.766,315,8.077,7.450,5.750,1.350,0.235,4.07,37.04,55.1,44.9
10-4-2020 08:00,757.11,11.568,420,8.028,6.800,5.000,1.500,0.300,4.08,48.025,54,46
11-4-2020 08:00,769.5446667,12.435,0,,,,,,,,,
12-4-2020 08:00,781.9793333,12.435,0,,,,,,,,,
13-4-2020 08:00,794.414,12.435,210,8.055,7.450,5.750,1.350,0.235,4.54,46.57,58.5,41.5
14-4-2020 08:00,809.262,14.848,210,8.011,7.400,5.500,1.500,0.273,4.19,34.06,57.6,42.4
15-4-2020 08:00,824.274,15.012,315,8.02,7.800,5.650,1.750,0.310,4.11,39.88,53.6,46.4
16-4-2020 08:00,839.868,15.594,315,8.026,6.950,4.950,1.550,0.313,4.13,33.68,55.1,44.9
17-4-2020 08:00,855.602,15.734,420,8.026,7.600,5.300,1.900,0.358,4.09,32.33,55.4,44.6
18-4-2020 08:00,868.0526667,12.451,0,,,,,,,,,
19-4-2020 08:00,880.5033333,12.451,0,,,,,,,,,
20-4-2020 08:00,892.954,12.451,210,8.18,7.800,6.100,1.300,0.213,4.13,42.55,48.8,51.2
21-4-2020 08:00,904.244,11.290,210,8.129,6.650,5.200,1.200,0.231,3.91,29.94,52.7,47.3
22-4-2020 08:00,915.722,11.478,315,8.101,6.500,4.950,1.200,0.242,3.94,35.74,53.5,46.5
23-4-2020 08:00,928.17,12.448,315,8.023,8.100,6.050,1.650,0.273,4,32.72,55.9,44.1
24-4-2020 08:00,941.476,13.306,420,8.007,7.550,5.400,1.750,0.324,4.04,42.26,58.1,41.9
25-4-2020 08:00,953.0853333,11.609,0,,,,,,,,,
26-4-2020 08:00,964.6946667,11.609,0,,,,,,,,,
27-4-2020 08:00,976.304,11.609,210,8.089,7.700,5.600,1.650,0.295,4.46,44.055,52.1,47.9
28-4-2020 08:00,989.378,13.074,210,8.05,7.400,5.450,1.650,0.303,4.27,32.22,59,41
29-4-2020 08:00,1002.826,13.448,315,8.045,7.350,5.400,1.600,0.296,4.13,33.53,58.9,41.1
30-4-2020 08:00,1016.836,14.010,315,8.004,8.000,5.800,1.700,0.293,4.19,34.64,58.7,41.3
1-5-2020 08:00,1030.89,14.054,420,7.968,8.350,5.900,2.000,0.339,4.21,35.29,59.8,40.2
2-5-2020 08:00,1047.021333,16.131,0,,,,,,,,,
3-5-2020 08:00,1063.152667,16.131,0,,,,,,,,,
4-5-2020 08:00,1079.284,16.131,210,7.813,7.300,4.650,2.200,0.473,4.44,48.08,64,36
5-5-2020 08:00,1093.172,13.888,210,7.832,7.750,4.850,2.300,0.474,4.11,34.14,55,45
6-5-2020 08:00,1105.058,11.886,315,7.816,7.000,4.350,2.100,0.483,4.04,35.03,53,47
7-5-2020 08:00,1117.33,12.272,315,7.817,6.000,3.750,1.750,0.467,4.11,35.26,54.9,45.1
8-5-2020 08:00,1129.3,11.970,420,7.811,7.100,4.350,2.250,0.517,4.05,33.73,56.3,43.7
9-5-2020 08:00,1135.324667,6.025,0,,,,,,,,,
10-5-2020 08:00,1141.349333,6.025,0,,,,,,,,,
11-5-2020 08:00,1147.374,6.025,210,7.912,7.750,4.750,2.350,0.495,4.17,34.295,52.9,47.1
12-5-2020 08:00,1157.76,10.386,210,7.824,7.450,4.600,2.250,0.489,4,43.18,56.9,43.1
13-5-2020 08:00,1158.722,0.962,315,7.792,8.000,4.800,2.650,0.552,4.05,49.25,59.6,40.4
